Tarih,Ort_Sicaklik,Hafta_Sonu,Su_Tuketimi_m3
2004-01-01,-1.7,0,93910
2004-01-02,-1.2,0,96421
2004-01-03,-5.7,1,102581
2004-01-04,0.9,1,103912
2004-01-05,-3.6,0,95013
2004-01-06,-2.9,0,99550
2004-01-07,0.3,0,95041
2004-01-08,0.8,0,98085
2004-01-09,-1.1,0,92135
2004-01-10,2.3,1,95676
2004-01-11,-5.0,1,104843
2004-01-12,0.7,0,92875
2004-01-13,-4.0,0,92859
2004-01-14,2.8,0,89671
2004-01-15,-1.0,0,94386
2004-01-16,-2.1,0,94209
2004-01-17,0.2,1,99576
2004-01-18,-5.8,1,95978
2004-01-19,3.0,0,94916
2004-01-20,3.0,0,92995
2004-01-21,2.1,0,93337
2004-01-22,0.6,0,92924
2004-01-23,-1.8,0,98649
2004-01-24,-6.0,1,97919
2004-01-25,-1.8,1,96983
2004-01-26,-4.1,0,92285
2004-01-27,-1.0,0,94943
2004-01-28,-3.2,0,96388
2004-01-29,0.1,0,94437
2004-01-30,-1.1,0,99518
2004-01-31,-1.7,1,104655
2004-02-01,-7.9,1,99785
2004-02-02,2.5,0,97194
2004-02-03,-2.9,0,100383
2004-02-04,-4.5,0,95407
2004-02-05,0.1,0,95728
2004-02-06,-0.6,0,96458
2004-02-07,-1.9,1,98635
2004-02-08,4.1,1,101684
2004-02-09,1.2,0,93343
2004-02-10,-4.2,0,100400
2004-02-11,4.8,0,95185
2004-02-12,5.6,0,99156
2004-02-13,1.7,0,93151
2004-02-14,-2.5,1,106533
2004-02-15,-4.3,1,103639
2004-02-16,1.3,0,99267
2004-02-17,2.3,0,97451
2004-02-18,1.1,0,96780
2004-02-19,-1.0,0,100341
2004-02-20,0.5,0,105014
2004-02-21,-1.6,1,103407
2004-02-22,0.1,1,105587
2004-02-23,0.4,0,97734
2004-02-24,-1.5,0,98281
2004-02-25,-2.3,0,102809
2004-02-26,5.7,0,99579
2004-02-27,5.8,0,103608
2004-02-28,0.2,1,104089
2004-02-29,1.7,1,106922
2004-03-01,1.7,0,101348
2004-03-02,2.4,0,104230
2004-03-03,2.4,0,103561
2004-03-04,8.7,0,107784
2004-03-05,4.8,0,105708
2004-03-06,2.5,1,107871
2004-03-07,1.5,1,109765
2004-03-08,3.8,0,101613
2004-03-09,9.0,0,105693
2004-03-10,10.1,0,105052
2004-03-11,6.9,0,101767
2004-03-12,3.3,0,105098
2004-03-13,5.9,1,111790
2004-03-14,6.5,1,111219
2004-03-15,4.2,0,113131
2004-03-16,4.6,0,107360
2004-03-17,2.0,0,103218
2004-03-18,6.2,0,107446
2004-03-19,7.7,0,104827
2004-03-20,9.7,1,111692
2004-03-21,1.2,1,113306
2004-03-22,8.6,0,109858
2004-03-23,9.5,0,109542
2004-03-24,11.3,0,107789
2004-03-25,8.3,0,113688
2004-03-26,5.2,0,115690
2004-03-27,7.3,1,118209
2004-03-28,6.5,1,114178
2004-03-29,11.9,0,109661
2004-03-30,12.6,0,111505
2004-03-31,9.3,0,115305
2004-04-01,6.3,0,114460
2004-04-02,12.1,0,114547
2004-04-03,12.8,1,121334
2004-04-04,13.7,1,123078
2004-04-05,9.0,0,115442
2004-04-06,9.7,0,110336
2004-04-07,10.3,0,116189
2004-04-08,11.4,0,115884
2004-04-09,10.5,0,118847
2004-04-10,8.5,1,119955
2004-04-11,9.5,1,122664
2004-04-12,14.1,0,117372
2004-04-13,8.0,0,112571
2004-04-14,15.3,0,121734
2004-04-15,15.1,0,117351
2004-04-16,10.5,0,124562
2004-04-17,14.7,1,119337
2004-04-18,13.3,1,122360
2004-04-19,14.8,0,126325
2004-04-20,16.5,0,129245
2004-04-21,12.3,0,120791
2004-04-22,16.2,0,119850
2004-04-23,17.4,0,123805
2004-04-24,15.9,1,122555
2004-04-25,14.2,1,124231
2004-04-26,9.7,0,126770
2004-04-27,21.0,0,118074
2004-04-28,14.4,0,126762
2004-04-29,16.7,0,124251
2004-04-30,14.1,0,133428
2004-05-01,23.8,1,135918
2004-05-02,18.9,1,133155
2004-05-03,20.2,0,126300
2004-05-04,12.1,0,128836
2004-05-05,12.8,0,125085
2004-05-06,17.8,0,126736
2004-05-07,20.3,0,127327
2004-05-08,17.4,1,135502
2004-05-09,19.6,1,134359
2004-05-10,13.9,0,132832
2004-05-11,17.5,0,129814
2004-05-12,21.7,0,132502
2004-05-13,26.0,0,127858
2004-05-14,22.9,0,133173
2004-05-15,24.1,1,136972
2004-05-16,20.5,1,139900
2004-05-17,19.0,0,132591
2004-05-18,23.0,0,134969
2004-05-19,22.5,0,137486
2004-05-20,16.5,0,138467
2004-05-21,19.9,0,135989
2004-05-22,22.5,1,143459
2004-05-23,22.5,1,138929
2004-05-24,21.7,0,134158
2004-05-25,26.3,0,133202
2004-05-26,25.9,0,136122
2004-05-27,21.3,0,140323
2004-05-28,26.9,0,133105
2004-05-29,28.1,1,146101
2004-05-30,29.8,1,144211
2004-05-31,25.8,0,140681
2004-06-01,24.7,0,136333
2004-06-02,26.4,0,140076
2004-06-03,24.4,0,136595
2004-06-04,26.0,0,139355
2004-06-05,26.0,1,137110
2004-06-06,25.9,1,144243
2004-06-07,27.5,0,140430
2004-06-08,30.5,0,138745
2004-06-09,28.2,0,138897
2004-06-10,29.7,0,139855
2004-06-11,27.3,0,145384
2004-06-12,29.3,1,143072
2004-06-13,31.0,1,144827
2004-06-14,22.9,0,134388
2004-06-15,28.7,0,145941
2004-06-16,32.4,0,148070
2004-06-17,30.1,0,145905
2004-06-18,28.5,0,145602
2004-06-19,25.7,1,146512
2004-06-20,34.8,1,159117
2004-06-21,25.4,0,145620
2004-06-22,33.7,0,151300
2004-06-23,30.1,0,139184
2004-06-24,30.3,0,143468
2004-06-25,31.7,0,146756
2004-06-26,29.6,1,150333
2004-06-27,31.1,1,148295
2004-06-28,27.5,0,145955
2004-06-29,30.0,0,145297
2004-06-30,30.9,0,144117
2004-07-01,28.2,0,141197
2004-07-02,31.7,0,151176
2004-07-03,24.4,1,152738
2004-07-04,32.4,1,153259
2004-07-05,30.2,0,147947
2004-07-06,30.5,0,150645
2004-07-07,33.5,0,148060
2004-07-08,35.4,0,155070
2004-07-09,31.2,0,150456
2004-07-10,32.0,1,148656
2004-07-11,33.7,1,159257
2004-07-12,29.7,0,148512
2004-07-13,30.8,0,147368
2004-07-14,28.6,0,148252
2004-07-15,27.9,0,142952
2004-07-16,31.2,0,148248
2004-07-17,28.3,1,146685
2004-07-18,27.7,1,147726
2004-07-19,29.3,0,148094
2004-07-20,33.8,0,152444
2004-07-21,31.9,0,151667
2004-07-22,32.6,0,150324
2004-07-23,26.8,0,149226
2004-07-24,31.7,1,150973
2004-07-25,25.8,1,148924
2004-07-26,26.0,0,142830
2004-07-27,35.5,0,156540
2004-07-28,29.9,0,150991
2004-07-29,25.8,0,145808
2004-07-30,31.0,0,146432
2004-07-31,39.5,1,166178
2004-08-01,26.1,1,153519
2004-08-02,30.7,0,142851
2004-08-03,31.5,0,150936
2004-08-04,34.5,0,157086
2004-08-05,28.6,0,148314
2004-08-06,31.1,0,146513
2004-08-07,30.4,1,155196
2004-08-08,30.4,1,148791
2004-08-09,31.0,0,139527
2004-08-10,28.6,0,145355
2004-08-11,36.3,0,150924
2004-08-12,28.9,0,151534
2004-08-13,25.9,0,142677
2004-08-14,31.5,1,149098
2004-08-15,27.4,1,148521
2004-08-16,23.7,0,142285
2004-08-17,31.2,0,144439
2004-08-18,27.7,0,141966
2004-08-19,29.5,0,138376
2004-08-20,30.2,0,145243
2004-08-21,31.5,1,155160
2004-08-22,32.2,1,150376
2004-08-23,31.7,0,144576
2004-08-24,21.6,0,143013
2004-08-25,24.8,0,146189
2004-08-26,27.6,0,141192
2004-08-27,28.0,0,146614
2004-08-28,27.1,1,140760
2004-08-29,24.5,1,146607
2004-08-30,24.2,0,143122
2004-08-31,29.2,0,137378
2004-09-01,25.3,0,143049
2004-09-02,26.1,0,141586
2004-09-03,24.9,0,142108
2004-09-04,27.4,1,142396
2004-09-05,26.2,1,142858
2004-09-06,20.3,0,139343
2004-09-07,29.5,0,138832
2004-09-08,21.2,0,137257
2004-09-09,25.8,0,139499
2004-09-10,21.7,0,137835
2004-09-11,23.6,1,145012
2004-09-12,25.9,1,139595
2004-09-13,19.1,0,134637
2004-09-14,20.2,0,136353
2004-09-15,22.9,0,130168
2004-09-16,27.2,0,136225
2004-09-17,26.3,0,134029
2004-09-18,20.3,1,137576
2004-09-19,18.2,1,146429
2004-09-20,25.1,0,134229
2004-09-21,17.3,0,136554
2004-09-22,28.1,0,131691
2004-09-23,20.9,0,133681
2004-09-24,19.2,0,130329
2004-09-25,19.2,1,137093
2004-09-26,17.5,1,141369
2004-09-27,23.9,0,131095
2004-09-28,16.8,0,127543
2004-09-29,19.9,0,131825
2004-09-30,22.3,0,130108
2004-10-01,24.8,0,134871
2004-10-02,21.0,1,133139
2004-10-03,21.3,1,141156
2004-10-04,16.6,0,129370
2004-10-05,20.7,0,128316
2004-10-06,25.2,0,125158
2004-10-07,20.0,0,131401
2004-10-08,22.6,0,126714
2004-10-09,20.9,1,130865
2004-10-10,19.2,1,126258
2004-10-11,17.5,0,130772
2004-10-12,17.0,0,122528
2004-10-13,10.3,0,131551
2004-10-14,18.3,0,125831
2004-10-15,12.3,0,127716
2004-10-16,16.6,1,128502
2004-10-17,15.1,1,130598
2004-10-18,13.2,0,122392
2004-10-19,12.4,0,121536
2004-10-20,13.5,0,122560
2004-10-21,14.7,0,121601
2004-10-22,14.5,0,116587
2004-10-23,14.6,1,127513
